TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Eevee ex 167/131 Prismatic Evolutions | Custom Pokémon Artwork Display Slab","Protect and display your full art Eevee ex from Terastal Festival / Prismatic Evolutions with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,5,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector","Acrylic Screwdown Case,Thick Paper,Glossy Paper,Photo Paper",https://i.etsystatic.com/56175595/r/il/23b3b8/6701378584/il_fullxfull.6701378584_jvc1.jpg,https://i.etsystatic.com/56175595/r/il/ee3f2d/6774133194/il_fullxfull.6774133194_a0rs.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Ninetales 199/197 | Custom Pokémon Artwork Display Slab","Protect and display your full art Ninetales from Obsidian Flames with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,5,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector","Acrylic Screwdown Case,Thick Paper,Glossy Paper,Photo Paper",https://i.etsystatic.com/56175595/r/il/18a6d2/6822753469/il_fullxfull.6822753469_jh6h.jpg,https://i.etsystatic.com/56175595/r/il/ffc7d7/6822696071/il_fullxfull.6822696071_k3y2.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Gardevoir/Sylveon GX 205/214 Unbroken Bonds | Custom Pokémon Artwork Display Slab","Protect and display your full art Gardevoir & Sylveon GX from Unbroken Bonds with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,5,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector","Acrylic Screwdown Case,Thick Paper,Glossy Paper,Photo Paper",https://i.etsystatic.com/56175595/r/il/3b1160/7843144567/il_fullxfull.7843144567_5pcz.jpg,https://i.etsystatic.com/56175595/r/il/fd4da5/6822695557/il_fullxfull.6822695557_cfu0.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Mega Kangaskhan ex 182/132 Mega Evolution | Custom Pokémon Artwork Display Slab","Protect and display your full art Mega Kangaskhan ex from Mega Evolution with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,4,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/2aa6da/7751468388/il_fullxfull.7751468388_9vq7.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Mega Diancie ex 282/217 Ascended Heroes | Custom Pokémon Artwork Display Slab","Protect and display your full art Mega Diancie ex from Ascended Heroes with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,3,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/bb602b/7857789829/il_fullxfull.7857789829_o8m4.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Mega Dragonite ex 290/217 Ascended Heroes | Custom Pokémon Artwork Display Slab","Protect and display your full art Mega Dragonite ex from Ascended Heroes with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,3,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/c1d485/7726926684/il_fullxfull.7726926684_k50p.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Lucario VSTAR SWSH291 | Custom Pokémon Artwork Display Slab","Protect and display your Lucario VSTAR from the Sword & Shield Promos with this premium extended art slab. Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,5,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector","Acrylic Screwdown Case,Thick and Glossy Professional Paper",https://i.etsystatic.com/56175595/r/il/ee103c/7720513682/il_fullxfull.7720513682_12er.jpg,https://i.etsystatic.com/56175595/r/il/cd4b4b/6822689949/il_fullxfull.6822689949_4rc5.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Mega Meganium ex 272/217 Ascended Heroes | Custom Pokémon Artwork Display Slab","Protect and display your full art Mega Meganium ex from Ascended Heroes with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,3,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/56e9e8/7723652107/il_fullxfull.7723652107_6gbp.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Mewtwo VSTAR GG44 Crown Zenith | Custom Pokémon Artwork Display Slab","Protect and display your full art Mewtwo VSTAR from Crown Zenith with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,4,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/b8ccf6/7817411917/il_fullxfull.7817411917_ijn1.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Team Rocket's Moltres ex 229/182 Destined Rivals | Custom Pokémon Artwork Display Slab","Protect and display your full art Team Rocket's Moltres ex from Destined Rivals with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,3,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/6ec6bd/7817408281/il_fullxfull.7817408281_b8up.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
